Condition,RT_response,correct,practice,problem_type,subject_nr,trial
Progressive,1650,1,no,1,1,5
Progressive,1378,1,no,1,1,6
Progressive,1428,1,no,1,1,7
Progressive,1395,1,no,1,1,8
Progressive,1468,1,no,1,1,9
Progressive,1430,1,no,1,1,10
Progressive,1657,1,no,1,1,11
Progressive,1466,1,no,1,1,12
Progressive,1801,1,no,1,1,13
Progressive,1385,1,no,1,1,14
Progressive,2963,1,no,2,1,15
Progressive,1545,1,no,2,1,16
Progressive,2175,1,no,2,1,17
Progressive,1646,1,no,2,1,18
Progressive,2596,1,no,2,1,19
Progressive,2173,1,no,2,1,20
Progressive,1747,1,no,2,1,21
Progressive,1882,1,no,2,1,22
Progressive,2033,1,no,2,1,23
Progressive,2336,1,no,2,1,24
Progressive,2081,1,no,3,1,25
Progressive,1913,1,no,3,1,26
Progressive,1425,1,no,3,1,27
Progressive,2212,1,no,3,1,28
Progressive,2242,1,no,3,1,29
Progressive,1532,1,no,3,1,30
Progressive,1769,1,no,3,1,31
Progressive,2170,1,no,3,1,32
Progressive,1230,1,no,3,1,33
Progressive,1614,1,no,3,1,34
Progressive,1605,1,no,4,1,35
Progressive,1525,1,no,4,1,36
Progressive,1658,1,no,4,1,37
Progressive,2116,1,no,4,1,38
Progressive,1530,1,no,4,1,39
Progressive,2214,1,no,4,1,40
Progressive,1651,1,no,4,1,41
Progressive,1897,1,no,4,1,42
Progressive,1381,1,no,4,1,43
Progressive,1628,1,no,4,1,44
Progressive,3122,0,no,5,1,45
Progressive,4005,1,no,5,1,46
Progressive,3136,1,no,5,1,47
Progressive,2370,1,no,5,1,48
Progressive,3455,1,no,5,1,49
Progressive,2394,1,no,5,1,50
Progressive,3182,1,no,5,1,51
Progressive,2795,1,no,5,1,52
Progressive,2040,1,no,5,1,53
Progressive,2969,1,no,5,1,54
Randomised,1454,1,no,1,1,5
Randomised,1657,1,no,4,1,6
Randomised,1771,1,no,2,1,7
Randomised,2714,1,no,3,1,8
Randomised,3790,1,no,5,1,9
Randomised,1445,1,no,1,1,10
Randomised,1548,1,no,2,1,11
Randomised,5001,0,no,5,1,12
Randomised,1876,1,no,3,1,13
Randomised,1357,1,no,4,1,14
Randomised,1820,1,no,2,1,15
Randomised,1180,1,no,1,1,16
Randomised,4939,1,no,5,1,17
Randomised,1495,1,no,4,1,18
Randomised,1489,1,no,3,1,19
Randomised,1699,1,no,3,1,20
Randomised,1361,1,no,1,1,21
Randomised,2624,1,no,4,1,22
Randomised,3013,1,no,2,1,23
Randomised,1880,1,no,5,1,24
Randomised,3196,1,no,5,1,25
Randomised,1939,1,no,2,1,26
Randomised,1456,1,no,4,1,27
Randomised,3087,0,no,3,1,28
Randomised,1512,1,no,1,1,29
Randomised,2427,1,no,5,1,30
Randomised,2050,1,no,2,1,31
Randomised,1711,1,no,1,1,32
Randomised,1424,1,no,3,1,33
Randomised,1443,1,no,4,1,34
Randomised,1389,1,no,1,1,35
Randomised,1806,1,no,4,1,36
Randomised,3014,1,no,5,1,37
Randomised,1784,1,no,2,1,38
Randomised,1298,1,no,3,1,39
Randomised,1186,1,no,1,1,40
Randomised,3576,1,no,3,1,41
Randomised,1269,1,no,4,1,42
Randomised,1753,0,no,2,1,43
Randomised,2730,0,no,5,1,44
Randomised,1788,1,no,3,1,45
Randomised,1758,1,no,4,1,46
Randomised,2396,1,no,1,1,47
Randomised,4982,0,no,5,1,48
Randomised,2209,1,no,2,1,49
Randomised,2001,1,no,4,1,50
Randomised,1406,1,no,3,1,51
Randomised,2578,1,no,5,1,52
Randomised,1246,1,no,1,1,53
Randomised,2412,1,no,2,1,54
Progressive,1253,1,no,1,2,5
Progressive,703,1,no,1,2,6
Progressive,1103,1,no,1,2,7
Progressive,1129,1,no,1,2,8
Progressive,790,1,no,1,2,9
Progressive,1036,1,no,1,2,10
Progressive,878,1,no,1,2,11
Progressive,728,1,no,1,2,12
Progressive,1559,1,no,1,2,13
Progressive,782,1,no,1,2,14
Progressive,2790,1,no,2,2,15
Progressive,1165,1,no,2,2,16
Progressive,1380,1,no,2,2,17
Progressive,1799,1,no,2,2,18
Progressive,2749,1,no,2,2,19
Progressive,1982,1,no,2,2,20
Progressive,1324,1,no,2,2,21
Progressive,2178,1,no,2,2,22
Progressive,1309,1,no,2,2,23
Progressive,988,1,no,2,2,24
Progressive,1911,1,no,3,2,25
Progressive,979,1,no,3,2,26
Progressive,1238,1,no,3,2,27
Progressive,1734,1,no,3,2,28
Progressive,1398,1,no,3,2,29
Progressive,1638,0,no,3,2,30
Progressive,1262,1,no,3,2,31
Progressive,1521,1,no,3,2,32
Progressive,1265,1,no,3,2,33
Progressive,1532,1,no,3,2,34
Progressive,2204,1,no,3,2,35
Progressive,1690,1,no,3,2,36
Progressive,1394,1,no,4,2,37
Progressive,1346,1,no,4,2,38
Progressive,2040,0,no,4,2,39
Progressive,869,1,no,4,2,40
Progressive,1792,1,no,4,2,41
Progressive,1361,1,no,4,2,42
Progressive,1213,1,no,4,2,43
Progressive,1298,1,no,4,2,44
Progressive,779,1,no,4,2,45
Progressive,835,1,no,4,2,46
Progressive,790,1,no,4,2,47
Progressive,946,0,no,4,2,48
Progressive,1118,1,no,4,2,49
Progressive,1224,1,no,4,2,50
Progressive,3981,0,no,5,2,51
Progressive,2330,1,no,5,2,52
Progressive,2756,1,no,5,2,53
Progressive,1954,1,no,5,2,54
Progressive,1692,1,no,5,2,55
Progressive,5001,0,no,5,2,56
Progressive,1835,1,no,5,2,57
Progressive,1858,0,no,5,2,58
Progressive,1429,1,no,5,2,59
Progressive,1724,1,no,5,2,60
Randomised,1779,1,no,4,2,5
Randomised,2184,1,no,3,2,6
Randomised,1254,1,no,2,2,7
Randomised,1117,1,no,1,2,8
Randomised,2610,1,no,5,2,9
Randomised,1606,1,no,5,2,10
Randomised,1058,1,no,1,2,11
Randomised,1489,1,no,3,2,12
Randomised,1253,0,no,2,2,13
Randomised,1597,1,no,4,2,14
Randomised,2578,1,no,5,2,15
Randomised,1132,1,no,1,2,16
Randomised,1369,1,no,2,2,17
Randomised,1322,1,no,3,2,18
Randomised,1231,1,no,4,2,19
Randomised,1315,1,no,3,2,20
Randomised,953,1,no,2,2,21
Randomised,1421,1,no,4,2,22
Randomised,1111,1,no,1,2,23
Randomised,2831,1,no,5,2,24
Randomised,838,1,no,4,2,25
Randomised,2086,0,no,5,2,26
Randomised,1497,1,no,3,2,27
Randomised,1095,1,no,1,2,28
Randomised,2065,1,no,2,2,29
Randomised,915,1,no,1,2,30
Randomised,2274,0,no,5,2,31
Randomised,1035,1,no,3,2,32
Randomised,1722,1,no,4,2,33
Randomised,1112,1,no,2,2,34
Randomised,725,1,no,1,2,35
Randomised,1404,1,no,4,2,36
Randomised,2559,1,no,2,2,37
Randomised,3283,0,no,5,2,38
Randomised,1345,1,no,3,2,39
Randomised,1188,1,no,2,2,40
Randomised,1019,0,no,4,2,41
Randomised,1133,1,no,1,2,42
Randomised,2724,0,no,5,2,43
Randomised,1100,1,no,3,2,44
Randomised,1903,1,no,2,2,45
Randomised,1359,1,no,3,2,46
Randomised,1565,1,no,1,2,47
Randomised,3497,1,no,5,2,48
Randomised,890,1,no,4,2,49
Randomised,1188,1,no,2,2,50
Randomised,906,1,no,1,2,51
Randomised,982,1,no,4,2,52
Randomised,2002,1,no,5,2,53
Randomised,1408,1,no,3,2,54
Progressive,1676,1,no,1,3,5
Progressive,1143,1,no,1,3,6
Progressive,1247,1,no,1,3,7
Progressive,1024,1,no,1,3,8
Progressive,1609,1,no,1,3,9
Progressive,1243,1,no,1,3,10
Progressive,933,1,no,1,3,11
Progressive,1378,1,no,1,3,12
Progressive,1213,1,no,1,3,13
Progressive,1071,1,no,1,3,14
Progressive,1384,0,no,2,3,15
Progressive,2075,1,no,2,3,16
Progressive,1478,1,no,2,3,17
Progressive,1640,1,no,2,3,18
