"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","2415","none","none","0","1","2","x = 2","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","yes","1","2","3","1"
"Randomised","2281","minimal","one","0","1","1","x + 1 = 2","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","yes","2","1","3","2"
"Randomised","1436","none","none","0","1","2","x = 2","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","yes","1","2","3","3"
"Randomised","2502","minimal","one","0","1","2","x + 5 = 7","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","yes","2","2","3","4"
"Randomised","2058","minimal","one","1","1","9","x + 1 = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","9","3","5"
"Randomised","2297","minimal","one","1","1","7","x + 2 = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","7","3","6"
"Randomised","2528","one","none","1","1","7","x = 28 / 4","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","7","3","7"
"Randomised","2103","one","one","1","1","1","2x = 2","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","1","3","8"
"Randomised","1961","one","none","1","1","5","x = 30 / 6","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","5","3","9"
"Randomised","2761","one","one","1","1","7","3x = 21","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","7","3","10"
"Randomised","1456","none","none","1","1","5","x = 5","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","5","3","11"
"Randomised","1419","none","none","1","1","8","x = 8","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","8","3","12"
"Randomised","5000","two","two","1","0","7","4x + 9 = 37","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","None","3","13"
"Randomised","5001","two","two","1","0","8","6x + 9 = 57","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","None","3","14"
"Randomised","4218","two","two","2","0","8","8x - 5 = 59","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","6","3","15"
"Randomised","1303","none","none","2","1","7","x = 7","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","7","3","16"
"Randomised","1997","one","none","2","1","3","x = 24 / 8","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","3","3","17"
"Randomised","2156","minimal","one","2","1","9","x + 1 = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","9","3","18"
"Randomised","1641","none","none","2","1","6","x = 6","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","6","3","19"
"Randomised","3077","one","one","2","1","4","6x = 24","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","4","3","20"
"Randomised","1211","minimal","one","2","1","4","x + 6 = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","4","3","21"
"Randomised","3791","two","two","2","0","8","8x + 7 = 71","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","6","3","22"
"Randomised","1527","one","none","2","1","7","x = 28 / 4","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","7","3","23"
"Randomised","1971","one","one","2","1","7","4x = 28","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","7","3","24"
"Randomised","3650","one","none","3","1","9","x = 72 / 8","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","9","3","25"
"Randomised","1378","none","none","3","1","4","x = 4","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","4","3","26"
"Randomised","1403","minimal","one","3","1","3","x + 7 = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","3","3","27"
"Randomised","2922","one","one","3","1","9","5x = 45","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","9","3","28"
"Randomised","4070","two","two","3","0","6","2x + 9 = 21","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","9","3","29"
"Randomised","1240","none","none","3","1","1","x = 1","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","1","3","30"
"Randomised","1954","one","none","3","1","7","x = 56 / 8","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","7","3","31"
"Randomised","1758","one","one","3","1","7","9x = 63","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","7","3","32"
"Randomised","2224","minimal","one","3","1","8","x - 1 = 7","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","8","3","33"
"Randomised","5000","two","two","3","0","6","3x + 7 = 25","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","None","3","34"
"Randomised","2476","one","one","4","1","6","9x = 54","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","6","3","35"
"Randomised","2606","two","two","4","1","1","4x + 7 = 11","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","1","3","36"
"Randomised","1688","minimal","one","4","1","9","x - 3 = 6","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","9","3","37"
"Randomised","4351","one","none","4","1","8","x = 24 / 3","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","8","3","38"
"Randomised","1695","minimal","one","4","1","7","x - 3 = 4","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","7","3","39"
"Randomised","1293","one","none","4","1","1","x = 9 / 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","1","3","40"
"Randomised","1435","one","one","4","1","3","8x = 24","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","3","3","41"
"Randomised","3113","two","two","4","0","8","7x - 2 = 54","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","6","3","42"
"Randomised","1373","none","none","4","1","9","x = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","9","3","43"
"Randomised","1077","none","none","4","1","7","x = 7","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","7","3","44"
"Randomised","1627","none","none","5","1","4","x = 4","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","4","3","45"
"Randomised","2033","one","one","5","1","5","2x = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","5","3","46"
"Randomised","2228","one","one","5","1","6","2x = 12","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","6","3","47"
"Randomised","5000","two","two","5","0","8","3x + 6 = 30","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","None","3","48"
"Randomised","1566","one","none","5","1","7","x = 14 / 2","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","7","3","49"
"Randomised","3285","minimal","one","5","1","8","x + 1 = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","8","3","50"
"Randomised","4065","two","two","5","1","9","8x + 1 = 73","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","9","3","51"
"Randomised","1315","none","none","5","1","9","x = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","9","3","52"
"Randomised","1173","minimal","one","5","1","3","x - 2 = 1","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","3","3","53"
"Randomised","1261","one","none","5","1","1","x = 5 / 5","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","3","1","3","54"
"Randomised","2931","two","two","6","1","2","6x + 1 = 13","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","5","2","3","55"
"Randomised","1092","none","none","6","1","9","x = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","9","3","56"
"Randomised","1313","none","none","6","1","9","x = 9","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","1","9","3","57"
"Randomised","3145","minimal","one","6","1","7","x + 3 = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","2","7","3","58"
"Randomised","3141","one","one","6","1","2","5x = 10","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","2","3","59"
"Randomised","1863","one","one","6","0","7","5x = 35","Wed Nov 12 11:11:22 2025","algebra_eyetracking.osexp","no","4","5","3","60"
