"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","timeout","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","579","0","6","x = 6","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","False","0","yes","1","4","999","5000","1","0","0"
"Randomised","551","0","3","x - 1 = 2","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","False","0","yes","2","5","999","5000","2","0","0"
"Randomised","584","0","3","x + 3 = 6","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","False","0","yes","2","7","999","5000","3","0","0"
"Randomised","612","1","3","x = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","False","0","yes","1","3","999","5000","4","0","0"
"Progressive","708","1","3","x = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","1","no","1","3","999","5000","5","1","1"
"Progressive","880","1","4","x = 4","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","2","no","1","4","999","5000","6","2","2"
"Progressive","1623","1","9","x = 9","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","3","no","1","9","999","5000","7","3","3"
"Progressive","1408","1","8","x = 8","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","4","no","1","8","999","5000","8","4","4"
"Progressive","1146","1","4","x = 4","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","5","no","1","4","999","5000","9","5","5"
"Progressive","880","1","3","x = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","6","no","1","3","999","5000","10","6","6"
"Progressive","1217","1","7","x = 7","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","7","no","1","7","999","5000","11","7","7"
"Progressive","944","1","3","x = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","8","no","1","3","999","5000","12","8","8"
"Progressive","901","1","1","x = 1","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","9","no","1","1","999","5000","13","9","9"
"Progressive","1442","1","9","x = 9","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","0","no","2","9","999","5000","14","10","0"
"Progressive","4742","1","8","x - 1 = 7","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","1","no","2","8","999","5000","15","1","1"
"Progressive","504","0","8","x + 2 = 10","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","0","no","2","2","999","5000","16","2","2"
"Progressive","469","0","7","x + 1 = 8","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-1","no","2","8","999","5000","17","3","3"
"Progressive","567","0","7","x - 4 = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-2","no","2","5","999","5000","18","4","4"
"Progressive","396","0","2","x + 2 = 4","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-3","no","2","9","999","5000","19","5","5"
"Progressive","484","0","6","x - 5 = 1","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-4","no","2","3","999","5000","20","6","6"
"Progressive","539","0","1","x + 8 = 9","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-5","no","2","4","999","5000","21","7","7"
"Progressive","527","0","5","x - 4 = 1","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-6","no","2","9","999","5000","22","8","8"
"Progressive","1048","0","6","x + 1 = 7","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-7","no","2","5","999","5000","23","9","9"
"Progressive","656","0","7","x - 4 = 3","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-8","no","2","9","999","5000","24","10","10"
"Progressive","482","0","5","x - 3 = 2","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-9","no","2","8","999","5000","25","11","11"
"Progressive","624","0","6","x + 2 = 8","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","0","no","1","4","999","5000","26","12","12"
"Progressive","432","0","8","x = 8","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-1","no","1","1","999","5000","27","11","13"
"Progressive","551","0","8","x = 8","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-2","no","1","4","999","5000","28","12","14"
"Progressive","506","1","9","x = 9","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","correct","0","-1","no","1","9","999","5000","29","13","15"
"Progressive","508","0","1","x = 1","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-2","no","1","3","999","5000","30","14","16"
"Progressive","482","0","7","x = 7","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-3","no","1","5","999","5000","31","15","17"
"Progressive","498","0","7","x = 7","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","0","-4","no","1","9","999","5000","32","16","18"
"Progressive","557","0","5","x = 5","Thu Sep 25 10:51:01 2025","algebra_progressive.osexp","wrong","1","-5","no","1","4","999","5000","33","17","19"
