"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","2583","1","4","x - 1 = 3","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","yes","2","4","1","1","0","0"
"Randomised","1538","1","6","x = 6","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","yes","1","6","1","2","0","0"
"Randomised","1459","1","4","x = 4","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","yes","1","4","1","3","0","0"
"Randomised","1689","1","2","x + 7 = 9","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","yes","2","2","1","4","0","0"
"Progressive","1650","1","8","x = 8","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","no","1","8","1","5","1","1"
"Progressive","1378","1","5","x = 5","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","1","no","1","5","1","6","2","2"
"Progressive","1428","1","6","x = 6","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","2","no","1","6","1","7","3","3"
"Progressive","1395","1","4","x = 4","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","3","no","1","4","1","8","4","4"
"Progressive","1468","1","7","x = 7","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","4","no","1","7","1","9","5","5"
"Progressive","1430","1","2","x = 2","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","5","no","1","2","1","10","6","6"
"Progressive","1657","1","6","x = 6","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","6","no","1","6","1","11","7","7"
"Progressive","1466","1","1","x = 1","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","7","no","1","1","1","12","8","8"
"Progressive","1801","1","6","x = 6","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","8","no","1","6","1","13","9","9"
"Progressive","1385","1","6","x = 6","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","9","no","1","6","1","14","10","10"
"Progressive","2963","1","2","x - 1 = 1","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","no","2","2","1","15","1","1"
"Progressive","1545","1","2","x - 1 = 1","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","1","no","2","2","1","16","2","2"
"Progressive","2175","1","6","x + 4 = 10","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","2","no","2","6","1","17","3","3"
"Progressive","1646","1","2","x - 1 = 1","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","3","no","2","2","1","18","4","4"
"Progressive","2596","1","9","x - 7 = 2","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","4","no","2","9","1","19","5","5"
"Progressive","2173","1","8","x + 1 = 9","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","5","no","2","8","1","20","6","6"
"Progressive","1747","1","2","x + 8 = 10","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","6","no","2","2","1","21","7","7"
"Progressive","1882","1","8","x + 2 = 10","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","7","no","2","8","1","22","8","8"
"Progressive","2033","1","9","x + 1 = 10","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","8","no","2","9","1","23","9","9"
"Progressive","2336","1","4","x + 3 = 7","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","9","no","2","4","1","24","10","10"
"Progressive","2081","1","9","x = 18 / 2","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","0","no","3","9","1","25","1","1"
"Progressive","1913","1","4","x = 20 / 5","Mon Sep 29 15:07:06 2025","algebra_progressive.osexp","correct","0","1","no","3","4","1","26","2","2"
