"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","2914","minimal","one","0","1","5","x - 3 = 2","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","yes","2","5","4","1"
"Randomised","1738","minimal","one","0","1","6","x - 2 = 4","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","yes","2","6","4","2"
"Randomised","1471","none","none","0","1","6","x = 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","yes","1","6","4","3"
"Randomised","1069","none","none","0","1","2","x = 2","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","yes","1","2","4","4"
"Randomised","2201","one","one","1","1","6","4x = 24","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","6","4","5"
"Randomised","2598","minimal","one","1","1","9","x - 5 = 4","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","9","4","6"
"Randomised","1230","none","none","1","1","5","x = 5","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","5","4","7"
"Randomised","2226","one","none","1","1","6","x = 42 / 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","6","4","8"
"Randomised","3776","two","two","1","1","9","9x + 3 = 84","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","9","4","9"
"Randomised","1914","minimal","one","2","1","7","x - 6 = 1","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","7","4","10"
"Randomised","1031","none","none","2","1","1","x = 1","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","1","4","11"
"Randomised","3240","one","one","2","1","7","4x = 28","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","7","4","12"
"Randomised","2119","one","none","2","1","9","x = 63 / 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","9","4","13"
"Randomised","3521","two","two","2","1","4","2x - 1 = 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","4","4","14"
"Randomised","1512","one","one","3","1","6","2x = 12","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","6","4","15"
"Randomised","1391","minimal","one","3","1","5","x - 3 = 2","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","5","4","16"
"Randomised","4892","two","two","3","1","4","2x + 5 = 13","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","4","4","17"
"Randomised","1125","none","none","3","1","6","x = 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","6","4","18"
"Randomised","1116","one","none","3","1","1","x = 2 / 2","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","1","4","19"
"Randomised","1477","one","one","4","1","6","4x = 24","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","6","4","20"
"Randomised","1020","one","none","4","1","7","x = 14 / 2","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","7","4","21"
"Randomised","1033","minimal","one","4","1","7","x + 1 = 8","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","7","4","22"
"Randomised","2411","two","two","4","1","7","8x - 3 = 53","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","7","4","23"
"Randomised","1476","none","none","4","1","8","x = 8","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","8","4","24"
"Randomised","2431","one","one","5","1","3","9x = 27","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","3","4","25"
"Randomised","2738","minimal","one","5","1","9","x + 1 = 10","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","9","4","26"
"Randomised","796","none","none","5","1","1","x = 1","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","1","4","27"
"Randomised","5001","two","two","5","0","5","8x - 4 = 36","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","None","4","28"
"Randomised","1313","one","none","5","1","2","x = 12 / 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","2","4","29"
"Randomised","1961","one","none","6","1","9","x = 81 / 9","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","9","4","30"
"Randomised","1620","one","one","6","1","2","5x = 10","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","2","4","31"
"Randomised","2148","minimal","one","6","1","3","x + 4 = 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","3","4","32"
"Randomised","3166","two","two","6","1","3","9x - 1 = 26","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","3","4","33"
"Randomised","1599","none","none","6","1","8","x = 8","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","8","4","34"
"Randomised","1066","minimal","one","7","1","3","x + 2 = 5","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","3","4","35"
"Randomised","1536","one","none","7","1","5","x = 30 / 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","5","4","36"
"Randomised","1249","one","one","7","1","6","3x = 18","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","6","4","37"
"Randomised","4627","two","two","7","0","7","5x + 7 = 42","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","6","4","38"
"Randomised","2079","none","none","7","1","4","x = 4","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","4","4","39"
"Randomised","936","one","one","8","1","1","9x = 9","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","1","4","40"
"Randomised","1238","one","none","8","1","5","x = 20 / 4","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","5","4","41"
"Randomised","3048","two","two","8","1","7","2x + 6 = 20","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","7","4","42"
"Randomised","1250","none","none","8","1","9","x = 9","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","9","4","43"
"Randomised","2276","minimal","one","8","1","2","x - 1 = 1","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","2","4","44"
"Randomised","1289","none","none","9","1","6","x = 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","6","4","45"
"Randomised","1823","minimal","one","9","1","3","x + 3 = 6","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","3","4","46"
"Randomised","3307","one","one","9","0","4","9x = 36","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","3","4","47"
"Randomised","1254","one","none","9","1","3","x = 21 / 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","3","4","48"
"Randomised","4391","two","two","9","0","8","4x - 3 = 29","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","7","4","49"
"Randomised","1589","one","one","10","1","4","4x = 16","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","4","4","4","50"
"Randomised","1781","one","none","10","1","9","x = 63 / 7","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","3","9","4","51"
"Randomised","1023","none","none","10","1","5","x = 5","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","1","5","4","52"
"Randomised","1064","minimal","one","10","0","4","x - 1 = 3","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","2","2","4","53"
"Randomised","3531","two","two","10","0","6","8x - 2 = 46","Mon Sep 29 14:47:04 2025","algebra_randomised.osexp","no","5","9","4","54"
