"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","1410","1","3","x = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","yes","1","3","2","1","0","0"
"Randomised","1538","1","3","x + 3 = 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","yes","2","3","2","2","0","0"
"Randomised","1168","1","4","x = 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","yes","1","4","2","3","0","0"
"Randomised","1645","0","8","x + 1 = 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","wrong","0","0","yes","2","9","2","4","0","0"
"Progressive","1253","1","6","x = 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","no","1","6","2","5","1","1"
"Progressive","703","1","1","x = 1","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","1","no","1","1","2","6","2","2"
"Progressive","1103","1","9","x = 9","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","2","no","1","9","2","7","3","3"
"Progressive","1129","1","5","x = 5","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","3","no","1","5","2","8","4","4"
"Progressive","790","1","3","x = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","4","no","1","3","2","9","5","5"
"Progressive","1036","1","7","x = 7","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","5","no","1","7","2","10","6","6"
"Progressive","878","1","4","x = 4","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","6","no","1","4","2","11","7","7"
"Progressive","728","1","1","x = 1","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","7","no","1","1","2","12","8","8"
"Progressive","1559","1","6","x = 6","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","8","no","1","6","2","13","9","9"
"Progressive","782","1","3","x = 3","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","9","no","1","3","2","14","10","10"
"Progressive","2790","1","2","x - 1 = 1","Fri Sep 26 13:08:58 2025","algebra_progressive.osexp","correct","0","0","no","2","2","2","15","1","1"
