"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","2105","none","none","0","1","9","x = 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","yes","1","9","3","1"
"Randomised","1209","none","none","0","1","7","x = 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","yes","1","7","3","2"
"Randomised","1794","minimal","one","0","1","6","x + 3 = 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","yes","2","6","3","3"
"Randomised","1407","minimal","one","0","1","2","x - 1 = 1","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","yes","2","2","3","4"
"Randomised","1459","minimal","one","1","1","9","x + 1 = 10","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","9","3","5"
"Randomised","1510","one","none","1","0","4","x = 28 / 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","3","3","6"
"Randomised","2503","none","none","1","0","3","x = 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","5","3","7"
"Randomised","525","two","two","1","0","1","2x + 4 = 6","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","6","3","8"
"Randomised","493","one","one","1","1","5","2x = 10","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","5","3","9"
"Randomised","494","none","none","2","0","5","x = 5","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","6","3","10"
"Randomised","525","minimal","one","2","0","4","x - 1 = 3","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","5","3","11"
"Randomised","470","one","none","2","0","6","x = 54 / 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","5","3","12"
"Randomised","434","two","two","2","1","6","3x - 2 = 16","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","6","3","13"
"Randomised","523","one","one","2","0","3","8x = 24","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","7","3","14"
"Randomised","373","minimal","one","3","0","1","x + 8 = 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","4","3","15"
"Randomised","451","one","none","3","0","5","x = 25 / 5","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","1","3","16"
"Randomised","440","two","two","3","0","3","2x - 2 = 4","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","7","3","17"
"Randomised","513","one","one","3","0","2","4x = 8","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","3","3","18"
"Randomised","482","none","none","3","0","7","x = 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","8","3","19"
"Randomised","455","minimal","one","4","0","6","x - 1 = 5","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","7","3","20"
"Randomised","492","two","two","4","0","6","7x - 2 = 40","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","8","3","21"
"Randomised","541","none","none","4","0","7","x = 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","5","3","22"
"Randomised","467","one","none","4","0","7","x = 49 / 7","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","6","3","23"
"Randomised","371","one","one","4","0","4","4x = 16","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","6","3","24"
"Randomised","487","one","none","5","0","1","x = 4 / 4","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","7","3","25"
"Randomised","505","none","none","5","0","9","x = 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","6","3","26"
"Randomised","417","two","two","5","0","9","2x - 1 = 17","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","6","3","27"
"Randomised","414","one","one","5","0","3","8x = 24","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","5","3","28"
"Randomised","567","minimal","one","5","0","2","x - 1 = 1","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","4","3","29"
"Randomised","437","one","one","6","0","8","6x = 48","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","4","3","3","30"
"Randomised","335","none","none","6","1","6","x = 6","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","1","6","3","31"
"Randomised","461","one","none","6","0","4","x = 36 / 9","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","3","7","3","32"
"Randomised","508","two","two","6","0","1","4x + 8 = 12","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","5","8","3","33"
"Randomised","480","minimal","one","6","0","4","x + 2 = 6","Thu Sep 25 15:50:53 2025","algebra_randomised.osexp","no","2","6","3","34"
