"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","3979","minimal","one","0","1","4","x + 2 = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","yes","2","4","5","1"
"Randomised","2232","none","none","0","1","5","x = 5","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","yes","1","5","5","2"
"Randomised","1713","none","none","0","1","4","x = 4","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","yes","1","4","5","3"
"Randomised","4169","minimal","one","0","1","5","x - 2 = 3","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","yes","2","5","5","4"
"Randomised","5002","one","one","1","0","6","7x = 42","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","4","None","5","5"
"Randomised","5001","minimal","one","1","0","2","x - 1 = 1","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","2","None","5","6"
"Randomised","3993","two","two","1","0","2","8x + 4 = 20","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","4","5","7"
"Randomised","2861","one","none","1","1","6","x = 12 / 2","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","3","6","5","8"
"Randomised","1974","none","none","1","1","6","x = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","1","6","5","9"
"Randomised","4998","two","two","2","1","5","9x + 1 = 46","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","5","5","10"
"Randomised","1663","none","none","2","1","6","x = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","1","6","5","11"
"Randomised","3459","one","one","2","1","7","9x = 63","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","4","7","5","12"
"Randomised","1314","minimal","one","2","1","2","x - 1 = 1","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","2","2","5","13"
"Randomised","4211","one","none","2","0","9","x = 54 / 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","3","8","5","14"
"Randomised","1594","none","none","3","1","7","x = 7","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","1","7","5","15"
"Randomised","3815","one","one","3","1","6","4x = 24","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","4","6","5","16"
"Randomised","2653","one","none","3","1","3","x = 27 / 9","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","3","3","5","17"
"Randomised","5000","two","two","3","0","7","2x + 3 = 17","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","None","5","18"
"Randomised","2915","minimal","one","3","1","6","x + 2 = 8","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","2","6","5","19"
"Randomised","2677","one","none","4","1","5","x = 30 / 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","3","5","5","20"
"Randomised","3565","two","two","4","1","4","7x - 1 = 27","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","4","5","21"
"Randomised","1310","none","none","4","1","7","x = 7","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","1","7","5","22"
"Randomised","2340","one","one","4","1","1","7x = 7","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","4","1","5","23"
"Randomised","3635","minimal","one","4","0","3","x + 5 = 8","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","2","5","5","24"
"Randomised","4071","one","none","5","1","7","x = 35 / 5","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","3","7","5","25"
"Randomised","1571","none","none","5","1","6","x = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","1","6","5","26"
"Randomised","4307","two","two","5","1","1","4x + 2 = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","1","5","27"
"Randomised","1917","one","one","5","1","3","2x = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","4","3","5","28"
"Randomised","4055","minimal","one","5","1","3","x + 3 = 6","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","2","3","5","29"
"Randomised","5000","two","two","6","0","6","4x - 4 = 20","Fri Sep 26 13:39:12 2025","algebra_randomised.osexp","no","5","None","5","30"
