"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","1781","none","none","0","1","8","x = 8","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","yes","1","8","6","1"
"Randomised","2314","minimal","one","0","1","3","x - 2 = 1","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","yes","2","3","6","2"
"Randomised","1646","none","none","0","1","6","x = 6","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","yes","1","6","6","3"
"Randomised","2539","minimal","one","0","1","4","x + 5 = 9","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","yes","2","4","6","4"
"Randomised","2204","minimal","one","1","1","8","x - 1 = 7","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","2","8","6","5"
"Randomised","4488","one","none","1","1","3","x = 27 / 9","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","3","3","6","6"
"Randomised","1282","none","none","1","1","2","x = 2","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","1","2","6","7"
"Randomised","3671","two","two","1","1","5","4x + 7 = 27","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","5","5","6","8"
"Randomised","1900","one","one","1","1","7","9x = 63","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","4","7","6","9"
"Randomised","2174","none","none","2","1","6","x = 6","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","1","6","6","10"
"Randomised","2004","minimal","one","2","1","3","x - 2 = 1","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","2","3","6","11"
"Randomised","3013","one","one","2","0","7","3x = 21","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","4","9","6","12"
"Randomised","4447","two","two","2","1","7","9x + 2 = 65","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","5","7","6","13"
"Randomised","2439","one","none","2","1","6","x = 24 / 4","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","3","6","6","14"
"Randomised","1393","none","none","3","1","2","x = 2","Tue Sep 30 13:05:26 2025","algebra_randomised.osexp","no","1","2","6","15"
